@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for MUDE 2022-2023                          @@@
Well name: W10
depth(m)	 porosity(-)
1998.0100	    0.223869
1999.5680	    0.223733
2001.1259	    0.111895
2002.6839	    0.118205
2004.2418	    0.094318
2005.7998	    0.092083
2007.3578	    0.067761
2008.9157	    0.194152
2010.4737	    0.215730
2012.0316	    0.193947
2013.5896	    0.140508
2015.1476	    0.152075
2016.7055	    0.175015
2018.2635	    0.175343
2019.8214	    0.174411
2021.3794	    0.207372
2022.9373	    0.228620
2024.4953	    0.189996
2026.0533	    0.183052
2027.6112	    0.181498
2029.1692	    0.205713
2030.7271	    0.219793
2032.2851	    0.081572
2033.8431	    0.098642
2035.4010	    0.092811
2036.9590	    0.069738
2038.5169	    0.039129
2040.0749	    0.060704
2041.6329	    0.190513
2043.1908	    0.164969
2044.7488	    0.221283
2046.3067	    0.210616
2047.8647	    0.209120
2049.4227	    0.182308
2050.9806	    0.185525
2052.5386	    0.148515
2054.0965	    0.169397
2055.6545	    0.136734
2057.2124	    0.201384
2058.7704	    0.194881
2060.3284	    0.178379
2061.8863	    0.197830
2063.4443	    0.189644
2065.0022	    0.198688
2066.5602	    0.199598
2068.1182	    0.193578
2069.6761	    0.162810
2071.2341	    0.163877
2072.7920	    0.156750
2074.3500	    0.141302
