@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for MUDE 2022-2023                          @@@
Well name: W20
depth(m)	 porosity(-)
2172.9300	    0.152949
2174.5708	    0.167349
2176.2116	    0.169376
2177.8524	    0.159694
2179.4933	    0.098039
2181.1341	    0.078481
2182.7749	    0.084840
2184.4157	    0.193746
2186.0565	    0.206006
2187.6973	    0.209889
2189.3382	    0.176585
2190.9790	    0.191001
2192.6198	    0.247309
2194.2606	    0.248742
2195.9014	    0.250376
2197.5422	    0.171965
2199.1831	    0.184744
2200.8239	    0.205384
2202.4647	    0.196613
2204.1055	    0.184944
2205.7463	    0.216605
2207.3871	    0.215753
2209.0280	    0.191553
2210.6688	    0.186482
2212.3096	    0.164947
2213.9504	    0.164283
2215.5912	    0.161362
2217.2320	    0.179194
2218.8729	    0.257249
2220.5137	    0.245186
2222.1545	    0.246096
2223.7953	    0.242576
2225.4361	    0.255507
2227.0769	    0.192111
2228.7178	    0.165370
2230.3586	    0.137318
2231.9994	    0.144515
2233.6402	    0.148977
2235.2810	    0.144205
2236.9218	    0.165448
2238.5627	    0.246119
2240.2035	    0.240004
2241.8443	    0.219432
2243.4851	    0.225874
2245.1259	    0.228583
2246.7667	    0.227313
2248.4076	    0.166640
2250.0484	    0.159075
2251.6892	    0.217804
2253.3300	    0.221963
