@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for MUDE 2022-2023                          @@@
Well name: W26
depth(m)	 porosity(-)
2172.1900	    0.113803
2174.1880	    0.098364
2176.1859	    0.179204
2178.1839	    0.188857
2180.1818	    0.182719
2182.1798	    0.205989
2184.1778	    0.170576
2186.1757	    0.175585
2188.1737	    0.200017
2190.1716	    0.188563
2192.1696	    0.172526
2194.1676	    0.173791
2196.1655	    0.163236
2198.1635	    0.142241
2200.1614	    0.162163
2202.1594	    0.150582
2204.1573	    0.172372
2206.1553	    0.204489
2208.1533	    0.200306
2210.1512	    0.210510
2212.1492	    0.199387
2214.1471	    0.197757
2216.1451	    0.163586
2218.1431	    0.171185
2220.1410	    0.158669
2222.1390	    0.144269
2224.1369	    0.159624
2226.1349	    0.139971
2228.1329	    0.150035
2230.1308	    0.158971
2232.1288	    0.250134
2234.1267	    0.252991
2236.1247	    0.232733
2238.1227	    0.173070
2240.1206	    0.180226
2242.1186	    0.170378
2244.1165	    0.157778
2246.1145	    0.161692
2248.1124	    0.223057
2250.1104	    0.258405
2252.1084	    0.179862
2254.1063	    0.181062
2256.1043	    0.198962
2258.1022	    0.217642
2260.1002	    0.214188
2262.0982	    0.226030
2264.0961	    0.162828
2266.0941	    0.154979
2268.0920	    0.172212
2270.0900	    0.175391
