@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for MUDE 2022-2023                          @@@
Well name: W3
depth(m)	 porosity(-)
1953.6400	    0.153007
1955.8251	    0.172327
1958.0102	    0.044738
1960.1953	    0.050217
1962.3804	    0.187879
1964.5655	    0.178114
1966.7506	    0.204569
1968.9357	    0.149104
1971.1208	    0.151378
1973.3059	    0.148239
1975.4910	    0.190317
1977.6761	    0.187383
1979.8612	    0.252019
1982.0463	    0.250259
1984.2314	    0.259599
1986.4165	    0.205137
1988.6016	    0.206122
1990.7867	    0.226486
1992.9718	    0.220189
1995.1569	    0.229316
1997.3420	    0.139912
1999.5271	    0.135621
2001.7122	    0.141337
2003.8973	    0.138360
2006.0824	    0.110990
2008.2676	    0.035275
2010.4527	    0.052265
2012.6378	    0.043811
2014.8229	    0.152729
2017.0080	    0.185353
2019.1931	    0.170422
2021.3782	    0.156450
2023.5633	    0.164124
2025.7484	    0.168546
2027.9335	    0.172583
2030.1186	    0.189829
2032.3037	    0.186429
2034.4888	    0.185572
2036.6739	    0.153938
2038.8590	    0.176183
2041.0441	    0.176135
2043.2292	    0.188908
2045.4143	    0.180134
2047.5994	    0.180732
2049.7845	    0.167261
2051.9696	    0.158250
2054.1547	    0.162022
2056.3398	    0.154109
2058.5249	    0.149763
2060.7100	    0.145927
