@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for MUDE 2022-2023                          @@@
Well name: W13
depth(m)	 porosity(-)
1996.4800	    0.207301
1998.6151	    0.184083
2000.7502	    0.124645
2002.8853	    0.130753
2005.0204	    0.134824
2007.1555	    0.137664
2009.2906	    0.135270
2011.4257	    0.165234
2013.5608	    0.180275
2015.6959	    0.167338
2017.8310	    0.228221
2019.9661	    0.215819
2022.1012	    0.242611
2024.2363	    0.240021
2026.3714	    0.235050
2028.5065	    0.142369
2030.6416	    0.132151
2032.7767	    0.157102
2034.9118	    0.203157
2037.0469	    0.182489
2039.1820	    0.207896
2041.3171	    0.199620
2043.4522	    0.174436
2045.5873	    0.203483
2047.7224	    0.180525
2049.8576	    0.188393
2051.9927	    0.209085
2054.1278	    0.219339
2056.2629	    0.173190
2058.3980	    0.163396
2060.5331	    0.221408
2062.6682	    0.209801
2064.8033	    0.208207
2066.9384	    0.179950
2069.0735	    0.171033
2071.2086	    0.200471
2073.3437	    0.188645
2075.4788	    0.191669
2077.6139	    0.176651
2079.7490	    0.176955
2081.8841	    0.187373
2084.0192	    0.176034
2086.1543	    0.186214
2088.2894	    0.184326
2090.4245	    0.202821
2092.5596	    0.213919
2094.6947	    0.096724
2096.8298	    0.116395
2098.9649	    0.137395
2101.1000	    0.154771
