@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for MUDE 2022-2023                          @@@
Well name: W27
depth(m)	 porosity(-)
2141.8100	    0.228883
2143.1698	    0.217078
2144.5296	    0.159302
2145.8894	    0.155838
2147.2492	    0.170921
2148.6090	    0.181659
2149.9688	    0.176996
2151.3286	    0.099221
2152.6884	    0.099855
2154.0482	    0.100165
2155.4080	    0.152669
2156.7678	    0.145038
2158.1276	    0.202132
2159.4873	    0.219560
2160.8471	    0.207037
2162.2069	    0.175547
2163.5667	    0.193440
2164.9265	    0.193821
2166.2863	    0.210894
2167.6461	    0.204894
2169.0059	    0.195109
2170.3657	    0.183452
2171.7255	    0.194098
2173.0853	    0.192398
2174.4451	    0.182578
2175.8049	    0.226003
2177.1647	    0.246371
2178.5245	    0.225212
2179.8843	    0.169903
2181.2441	    0.156153
2182.6039	    0.169193
2183.9637	    0.185082
2185.3235	    0.181906
2186.6833	    0.193357
2188.0431	    0.206651
2189.4029	    0.176643
2190.7627	    0.192704
2192.1224	    0.160392
2193.4822	    0.204258
2194.8420	    0.197089
2196.2018	    0.226952
2197.5616	    0.253007
2198.9214	    0.237054
2200.2812	    0.186326
2201.6410	    0.166904
2203.0008	    0.171090
2204.3606	    0.233539
2205.7204	    0.225075
2207.0802	    0.031541
2208.4400	    0.035936
