@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for MUDE 2022-2023                          @@@
Well name: W6
depth(m)	 porosity(-)
2090.6200	    0.167797
2095.4439	    0.159566
2100.2678	    0.227980
2105.0916	    0.236324
2109.9155	    0.222495
2114.7394	    0.201821
2119.5633	    0.213609
2124.3871	    0.178685
2129.2110	    0.174112
2134.0349	    0.183859
2138.8588	    0.212453
2143.6827	    0.218577
2148.5065	    0.166499
2153.3304	    0.148475
2158.1543	    0.132361
2162.9782	    0.167394
2167.8020	    0.167288
2172.6259	    0.208322
2177.4498	    0.206772
2182.2737	    0.204955
2187.0976	    0.086161
2191.9214	    0.075482
2196.7453	    0.215899
2201.5692	    0.232887
2206.3931	    0.242752
2211.2169	    0.169321
2216.0408	    0.170858
2220.8647	    0.181981
2225.6886	    0.171706
2230.5124	    0.165722
2235.3363	    0.274865
2240.1602	    0.258406
2244.9841	    0.243267
2249.8080	    0.220928
2254.6318	    0.193260
2259.4557	    0.188564
2264.2796	    0.195941
2269.1035	    0.196541
2273.9273	    0.237933
2278.7512	    0.230725
2283.5751	    0.212945
2288.3990	    0.234212
2293.2229	    0.235569
2298.0467	    0.195870
2302.8706	    0.192152
2307.6945	    0.197964
2312.5184	    0.190183
2317.3422	    0.164884
2322.1661	    0.171367
2326.9900	    0.165502
