@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for MUDE 2022-2023                          @@@
Well name: W14
depth(m)	 porosity(-)
2264.7900	    0.130557
2267.2239	    0.135653
2269.6578	    0.195134
2272.0916	    0.198893
2274.5255	    0.178697
2276.9594	    0.166950
2279.3933	    0.161202
2281.8271	    0.122312
2284.2610	    0.108850
2286.6949	    0.113807
2289.1288	    0.236414
2291.5627	    0.248209
2293.9965	    0.204526
2296.4304	    0.195185
2298.8643	    0.199494
2301.2982	    0.144622
2303.7320	    0.164770
2306.1659	    0.207269
2308.5998	    0.175401
2311.0337	    0.199582
2313.4676	    0.220235
2315.9014	    0.214477
2318.3353	    0.119669
2320.7692	    0.099731
2323.2031	    0.122354
2325.6369	    0.140023
2328.0708	    0.150780
2330.5047	    0.139017
2332.9386	    0.226235
2335.3724	    0.235085
2337.8063	    0.241261
2340.2402	    0.232283
2342.6741	    0.228066
2345.1080	    0.114482
2347.5418	    0.100333
2349.9757	    0.248114
2352.4096	    0.258960
2354.8435	    0.251870
2357.2773	    0.165924
2359.7112	    0.174120
2362.1451	    0.254576
2364.5790	    0.238933
2367.0129	    0.235690
2369.4467	    0.177855
2371.8806	    0.168011
2374.3145	    0.158601
2376.7484	    0.172244
2379.1822	    0.171482
2381.6161	    0.154461
2384.0500	    0.151050
