@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for MUDE 2022-2023                          @@@
Well name: W11
depth(m)	 porosity(-)
1982.5600	    0.108417
1984.6422	    0.102962
1986.7245	    0.124427
1988.8067	    0.130841
1990.8890	    0.098570
1992.9712	    0.118359
1995.0535	    0.111271
1997.1357	    0.233709
1999.2180	    0.220999
2001.3002	    0.233734
2003.3824	    0.148547
2005.4647	    0.140896
2007.5469	    0.147492
2009.6292	    0.149956
2011.7114	    0.169478
2013.7937	    0.096606
2015.8759	    0.113155
2017.9582	    0.065547
2020.0404	    0.086895
2022.1227	    0.060391
2024.2049	    0.217460
2026.2871	    0.221409
2028.3694	    0.136568
2030.4516	    0.134192
2032.5339	    0.137539
2034.6161	    0.126533
2036.6984	    0.134977
2038.7806	    0.128403
2040.8629	    0.144686
2042.9451	    0.149427
2045.0273	    0.211328
2047.1096	    0.206615
2049.1918	    0.214079
2051.2741	    0.199315
2053.3563	    0.210030
2055.4386	    0.190481
2057.5208	    0.195654
2059.6031	    0.193246
2061.6853	    0.168243
2063.7676	    0.165073
2065.8498	    0.235610
2067.9320	    0.239599
2070.0143	    0.228799
2072.0965	    0.161542
2074.1788	    0.170134
2076.2610	    0.165875
2078.3433	    0.199122
2080.4255	    0.198110
2082.5078	    0.218979
2084.5900	    0.224145
