@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for MUDE 2022-2023                          @@@
Well name: W23
depth(m)	 porosity(-)
2245.1000	    0.069050
2247.1316	    0.067371
2249.1633	    0.168430
2251.1949	    0.173914
2253.2265	    0.187750
2255.2582	    0.158439
2257.2898	    0.160359
2259.3214	    0.199876
2261.3531	    0.212550
2263.3847	    0.193067
2265.4163	    0.248192
2267.4480	    0.248867
2269.4796	    0.170542
2271.5112	    0.196550
2273.5429	    0.186784
2275.5745	    0.203859
2277.6061	    0.187582
2279.6378	    0.141128
2281.6694	    0.120504
2283.7010	    0.127587
2285.7327	    0.198079
2287.7643	    0.192704
2289.7959	    0.166252
2291.8276	    0.157296
2293.8592	    0.166431
2295.8908	    0.161821
2297.9224	    0.138784
2299.9541	    0.154189
2301.9857	    0.174161
2304.0173	    0.143626
2306.0490	    0.162655
2308.0806	    0.159944
2310.1122	    0.156806
2312.1439	    0.228679
2314.1755	    0.223319
2316.2071	    0.256399
2318.2388	    0.236978
2320.2704	    0.243720
2322.3020	    0.173296
2324.3337	    0.162065
2326.3653	    0.187283
2328.3969	    0.155739
2330.4286	    0.175242
2332.4602	    0.221585
2334.4918	    0.226954
2336.5235	    0.216738
2338.5551	    0.196194
2340.5867	    0.198151
2342.6184	    0.187010
2344.6500	    0.138386
