@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for MUDE 2022-2023                          @@@
Well name: W2
depth(m)	 porosity(-)
1922.1400	    0.220445
1924.7118	    0.203070
1927.2837	    0.232086
1929.8555	    0.240464
1932.4273	    0.137894
1934.9992	    0.116581
1937.5710	    0.117942
1940.1429	    0.169059
1942.7147	    0.172030
1945.2865	    0.163414
1947.8584	    0.232032
1950.4302	    0.214479
1953.0020	    0.158135
1955.5739	    0.157380
1958.1457	    0.158113
1960.7176	    0.196028
1963.2894	    0.211810
1965.8612	    0.237130
1968.4331	    0.233579
1971.0049	    0.242628
1973.5767	    0.204694
1976.1486	    0.214403
1978.7204	    0.082668
1981.2922	    0.097095
1983.8641	    0.105980
1986.4359	    0.168336
1989.0078	    0.179906
1991.5796	    0.174925
1994.1514	    0.168206
1996.7233	    0.184878
1999.2951	    0.204187
2001.8669	    0.212401
2004.4388	    0.192498
2007.0106	    0.216435
2009.5824	    0.218965
2012.1543	    0.231197
2014.7261	    0.227933
2017.2980	    0.226341
2019.8698	    0.176095
2022.4416	    0.198552
2025.0135	    0.174416
2027.5853	    0.187689
2030.1571	    0.185539
2032.7290	    0.180623
2035.3008	    0.197797
2037.8727	    0.190805
2040.4445	    0.231004
2043.0163	    0.245893
2045.5882	    0.175590
2048.1600	    0.190566
