@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for MUDE 2022-2023                          @@@
Well name: W19
depth(m)	 porosity(-)
1687.9700	    0.127249
1691.0022	    0.155839
1694.0345	    0.149545
1697.0667	    0.179445
1700.0990	    0.114385
1703.1312	    0.124038
1706.1635	    0.128302
1709.1957	    0.065946
1712.2280	    0.066394
1715.2602	    0.062366
1718.2924	    0.167344
1721.3247	    0.152553
1724.3569	    0.117483
1727.3892	    0.117817
1730.4214	    0.134535
1733.4537	    0.145192
1736.4859	    0.142426
1739.5182	    0.212176
1742.5504	    0.220858
1745.5827	    0.238615
1748.6149	    0.101855
1751.6471	    0.091972
1754.6794	    0.193445
1757.7116	    0.178693
1760.7439	    0.197707
1763.7761	    0.169058
1766.8084	    0.180299
1769.8406	    0.155642
1772.8729	    0.134790
1775.9051	    0.128797
1778.9373	    0.220066
1781.9696	    0.224222
1785.0018	    0.229234
1788.0341	    0.153302
1791.0663	    0.169995
1794.0986	    0.149985
1797.1308	    0.162545
1800.1631	    0.138317
1803.1953	    0.140810
1806.2276	    0.116183
1809.2598	    0.114230
1812.2920	    0.124516
1815.3243	    0.093205
1818.3565	    0.165276
1821.3888	    0.182608
1824.4210	    0.163405
1827.4533	    0.171611
1830.4855	    0.195328
1833.5178	    0.181463
1836.5500	    0.178372
