@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for MUDE 2022-2023                          @@@
Well name: W21
depth(m)	 porosity(-)
2235.6600	    0.166585
2237.4014	    0.166395
2239.1429	    0.170931
2240.8843	    0.175197
2242.6257	    0.191417
2244.3671	    0.215385
2246.1086	    0.199766
2247.8500	    0.220761
2249.5914	    0.231281
2251.3329	    0.211935
2253.0743	    0.177512
2254.8157	    0.205934
2256.5571	    0.153914
2258.2986	    0.190982
2260.0400	    0.168065
2261.7814	    0.187891
2263.5229	    0.185046
2265.2643	    0.210788
2267.0057	    0.231300
2268.7471	    0.202152
2270.4886	    0.229426
2272.2300	    0.206273
2273.9714	    0.235725
2275.7129	    0.228249
2277.4543	    0.237719
2279.1957	    0.157645
2280.9371	    0.149481
2282.6786	    0.162592
2284.4200	    0.161656
2286.1614	    0.152091
2287.9029	    0.147057
2289.6443	    0.162989
2291.3857	    0.148449
2293.1271	    0.177984
2294.8686	    0.168746
2296.6100	    0.261993
2298.3514	    0.246449
2300.0929	    0.249286
2301.8343	    0.242001
2303.5757	    0.229960
2305.3171	    0.219793
2307.0586	    0.239692
2308.8000	    0.228193
2310.5414	    0.204039
2312.2829	    0.212198
2314.0243	    0.218912
2315.7657	    0.244293
2317.5071	    0.208644
2319.2486	    0.172789
2320.9900	    0.161686
