@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for MUDE 2022-2023                          @@@
Well name: W25
depth(m)	 porosity(-)
1971.0500	    0.174839
1975.7153	    0.160143
1980.3806	    0.119828
1985.0459	    0.137892
1989.7112	    0.203757
1994.3765	    0.214590
1999.0418	    0.211121
2003.7071	    0.230053
2008.3724	    0.205009
2013.0378	    0.206360
2017.7031	    0.190328
2022.3684	    0.182116
2027.0337	    0.199220
2031.6990	    0.199128
2036.3643	    0.213809
2041.0296	    0.246232
2045.6949	    0.242793
2050.3602	    0.205064
2055.0255	    0.210190
2059.6908	    0.208366
2064.3561	    0.099829
2069.0214	    0.080175
2073.6867	    0.214532
2078.3520	    0.236452
2083.0173	    0.226912
2087.6827	    0.213319
2092.3480	    0.193073
2097.0133	    0.196577
2101.6786	    0.145889
2106.3439	    0.169337
2111.0092	    0.129241
2115.6745	    0.137932
2120.3398	    0.150268
2125.0051	    0.133594
2129.6704	    0.117791
2134.3357	    0.167024
2139.0010	    0.176069
2143.6663	    0.171055
2148.3316	    0.144789
2152.9969	    0.146349
2157.6622	    0.090005
2162.3276	    0.109106
2166.9929	    0.093303
2171.6582	    0.164494
2176.3235	    0.175341
2180.9888	    0.177902
2185.6541	    0.186943
2190.3194	    0.182692
2194.9847	    0.212678
2199.6500	    0.205555
