@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for MUDE 2022-2023                          @@@
Well name: W28
depth(m)	 porosity(-)
2175.5800	    0.110789
2178.7308	    0.102246
2181.8816	    0.215276
2185.0324	    0.204433
2188.1833	    0.199633
2191.3341	    0.203850
2194.4849	    0.209570
2197.6357	    0.190254
2200.7865	    0.193951
2203.9373	    0.191115
2207.0882	    0.167005
2210.2390	    0.155055
2213.3898	    0.233393
2216.5406	    0.234330
2219.6914	    0.221232
2222.8422	    0.193014
2225.9931	    0.211735
2229.1439	    0.237862
2232.2947	    0.255789
2235.4455	    0.256413
2238.5963	    0.238394
2241.7471	    0.239149
2244.8980	    0.156849
2248.0488	    0.164743
2251.1996	    0.153138
2254.3504	    0.042917
2257.5012	    0.058873
2260.6520	    0.050366
2263.8029	    0.078667
2266.9537	    0.065847
2270.1045	    0.212650
2273.2553	    0.209433
2276.4061	    0.214899
2279.5569	    0.210077
2282.7078	    0.203316
2285.8586	    0.165084
2289.0094	    0.161510
2292.1602	    0.165867
2295.3110	    0.138402
2298.4618	    0.132653
2301.6127	    0.134626
2304.7635	    0.146702
2307.9143	    0.128593
2311.0651	    0.164863
2314.2159	    0.145198
2317.3667	    0.172143
2320.5176	    0.155287
2323.6684	    0.169057
2326.8192	    0.185628
2329.9700	    0.187022
