@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for MUDE 2022-2023                          @@@
Well name: W16
depth(m)	 porosity(-)
2172.2400	    0.243185
2173.8094	    0.220448
2175.3788	    0.189735
2176.9482	    0.184984
2178.5176	    0.169954
2180.0869	    0.179328
2181.6563	    0.161713
2183.2257	    0.149384
2184.7951	    0.161990
2186.3645	    0.162108
2187.9339	    0.092354
2189.5033	    0.085174
2191.0727	    0.150987
2192.6420	    0.153327
2194.2114	    0.157107
2195.7808	    0.178116
2197.3502	    0.173648
2198.9196	    0.219125
2200.4890	    0.223297
2202.0584	    0.228670
2203.6278	    0.197808
2205.1971	    0.166841
2206.7665	    0.157011
2208.3359	    0.138374
2209.9053	    0.123242
2211.4747	    0.237610
2213.0441	    0.231738
2214.6135	    0.234181
2216.1829	    0.171201
2217.7522	    0.160366
2219.3216	    0.169044
2220.8910	    0.197367
2222.4604	    0.177593
2224.0298	    0.201861
2225.5992	    0.203727
2227.1686	    0.220707
2228.7380	    0.224185
2230.3073	    0.236454
2231.8767	    0.185750
2233.4461	    0.184758
2235.0155	    0.236341
2236.5849	    0.233604
2238.1543	    0.234284
2239.7237	    0.203097
2241.2931	    0.203288
2242.8624	    0.184088
2244.4318	    0.210847
2246.0012	    0.213229
2247.5706	    0.041008
2249.1400	    0.046246
