@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for MUDE 2022-2023                          @@@
Well name: W12
depth(m)	 porosity(-)
1958.4000	    0.222732
1960.5337	    0.233966
1962.6673	    0.214006
1964.8010	    0.202936
1966.9347	    0.201917
1969.0684	    0.215025
1971.2020	    0.194185
1973.3357	    0.203781
1975.4694	    0.230520
1977.6031	    0.206028
1979.7367	    0.186368
1981.8704	    0.172785
1984.0041	    0.192184
1986.1378	    0.200974
1988.2714	    0.181546
1990.4051	    0.208739
1992.5388	    0.197480
1994.6724	    0.188743
1996.8061	    0.187195
1998.9398	    0.182576
2001.0735	    0.124451
2003.2071	    0.142084
2005.3408	    0.135272
2007.4745	    0.110741
2009.6082	    0.144130
2011.7418	    0.065227
2013.8755	    0.051441
2016.0092	    0.058410
2018.1429	    0.255163
2020.2765	    0.266259
2022.4102	    0.160142
2024.5439	    0.162815
2026.6776	    0.172497
2028.8112	    0.134845
2030.9449	    0.115145
2033.0786	    0.181555
2035.2122	    0.197448
2037.3459	    0.176166
2039.4796	    0.178382
2041.6133	    0.177172
2043.7469	    0.185434
2045.8806	    0.178392
2048.0143	    0.203268
2050.1480	    0.166120
2052.2816	    0.188861
2054.4153	    0.182438
2056.5490	    0.155069
2058.6827	    0.148864
2060.8163	    0.132980
2062.9500	    0.139579
