@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for MUDE 2022-2023                          @@@
Well name: W18
depth(m)	 porosity(-)
2153.4600	    0.162860
2154.6641	    0.158578
2155.8682	    0.139272
2157.0722	    0.120209
2158.2763	    0.103996
2159.4804	    0.106273
2160.6845	    0.106995
2161.8886	    0.200363
2163.0927	    0.215103
2164.2967	    0.217168
2165.5008	    0.123190
2166.7049	    0.120523
2167.9090	    0.213780
2169.1131	    0.212614
2170.3171	    0.204157
2171.5212	    0.152863
2172.7253	    0.168690
2173.9294	    0.075451
2175.1335	    0.085996
2176.3376	    0.068233
2177.5416	    0.212122
2178.7457	    0.220111
2179.9498	    0.248051
2181.1539	    0.245480
2182.3580	    0.237626
2183.5620	    0.221956
2184.7661	    0.239512
2185.9702	    0.220237
2187.1743	    0.207906
2188.3784	    0.204150
2189.5824	    0.167986
2190.7865	    0.185041
2191.9906	    0.176502
2193.1947	    0.195756
2194.3988	    0.180660
2195.6029	    0.200384
2196.8069	    0.169692
2198.0110	    0.186808
2199.2151	    0.250080
2200.4192	    0.255149
2201.6233	    0.177336
2202.8273	    0.197015
2204.0314	    0.199319
2205.2355	    0.177863
2206.4396	    0.201017
2207.6437	    0.175677
2208.8478	    0.163239
2210.0518	    0.159606
2211.2559	    0.039627
2212.4600	    0.037460
