@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for MUDE 2022-2023                          @@@
Well name: W22
depth(m)	 porosity(-)
1899.2600	    0.074162
1900.5261	    0.094336
1901.7922	    0.173914
1903.0584	    0.167822
1904.3245	    0.060883
1905.5906	    0.068971
1906.8567	    0.078277
1908.1229	    0.218329
1909.3890	    0.193715
1910.6551	    0.209061
1911.9212	    0.154772
1913.1873	    0.168263
1914.4535	    0.151981
1915.7196	    0.148699
1916.9857	    0.128292
1918.2518	    0.230428
1919.5180	    0.258225
1920.7841	    0.110137
1922.0502	    0.100969
1923.3163	    0.104422
1924.5824	    0.066691
1925.8486	    0.067260
1927.1147	    0.034579
1928.3808	    0.051307
1929.6469	    0.032915
1930.9131	    0.158622
1932.1792	    0.157662
1933.4453	    0.153106
1934.7114	    0.206808
1935.9776	    0.170218
1937.2437	    0.081508
1938.5098	    0.087370
1939.7759	    0.094530
1941.0420	    0.121529
1942.3082	    0.109764
1943.5743	    0.158035
1944.8404	    0.187919
1946.1065	    0.151401
1947.3727	    0.198471
1948.6388	    0.196212
1949.9049	    0.106147
1951.1710	    0.105227
1952.4371	    0.114816
1953.7033	    0.186937
1954.9694	    0.177941
1956.2355	    0.188356
1957.5016	    0.137172
1958.7678	    0.148802
1960.0339	    0.150491
1961.3000	    0.163401
