@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for MUDE 2022-2023                          @@@
Well name: W9
depth(m)	 porosity(-)
2053.5400	    0.162268
2057.3247	    0.161427
2061.1094	    0.172690
2064.8941	    0.173706
2068.6788	    0.187783
2072.4635	    0.192250
2076.2482	    0.184184
2080.0329	    0.062232
2083.8176	    0.067603
2087.6022	    0.069717
2091.3869	    0.119622
2095.1716	    0.157830
2098.9563	    0.227550
2102.7410	    0.219306
2106.5257	    0.212340
2110.3104	    0.172785
2114.0951	    0.168537
2117.8798	    0.228335
2121.6645	    0.209411
2125.4492	    0.244408
2129.2339	    0.062287
2133.0186	    0.027413
2136.8033	    0.146139
2140.5880	    0.144732
2144.3727	    0.146232
2148.1573	    0.164397
2151.9420	    0.142462
2155.7267	    0.173841
2159.5114	    0.133611
2163.2961	    0.132118
2167.0808	    0.122889
2170.8655	    0.116727
2174.6502	    0.090117
2178.4349	    0.160968
2182.2196	    0.167282
2186.0043	    0.158602
2189.7890	    0.157466
2193.5737	    0.172156
2197.3584	    0.170597
2201.1431	    0.176073
2204.9278	    0.171112
2208.7124	    0.185564
2212.4971	    0.178820
2216.2818	    0.203240
2220.0665	    0.188199
2223.8512	    0.203027
2227.6359	    0.239083
2231.4206	    0.236141
2235.2053	    0.164687
2238.9900	    0.195231
