@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for MUDE 2022-2023                          @@@
Well name: W30
depth(m)	 porosity(-)
2020.3900	    0.157300
2024.2273	    0.138613
2028.0647	    0.197145
2031.9020	    0.190191
2035.7394	    0.139237
2039.5767	    0.127730
2043.4141	    0.140530
2047.2514	    0.224139
2051.0888	    0.225195
2054.9261	    0.207026
2058.7635	    0.211970
2062.6008	    0.192858
2066.4382	    0.188107
2070.2755	    0.197068
2074.1129	    0.204900
2077.9502	    0.174823
2081.7876	    0.193075
2085.6249	    0.215572
2089.4622	    0.236995
2093.2996	    0.221175
2097.1369	    0.239462
2100.9743	    0.234770
2104.8116	    0.212218
2108.6490	    0.189108
2112.4863	    0.194961
2116.3237	    0.135666
2120.1610	    0.154795
2123.9984	    0.122029
2127.8357	    0.138500
2131.6731	    0.145002
2135.5104	    0.159979
2139.3478	    0.171540
2143.1851	    0.156889
2147.0224	    0.122334
2150.8598	    0.093045
2154.6971	    0.158512
2158.5345	    0.162787
2162.3718	    0.164276
2166.2092	    0.230586
2170.0465	    0.229533
2173.8839	    0.182294
2177.7212	    0.170011
2181.5586	    0.168551
2185.3959	    0.177813
2189.2333	    0.163288
2193.0706	    0.174212
2196.9080	    0.224936
2200.7453	    0.222351
2204.5827	    0.205150
2208.4200	    0.222322
