@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for MUDE 2022-2023                          @@@
Well name: W8
depth(m)	 porosity(-)
2080.1200	    0.145438
2082.9455	    0.164243
2085.7710	    0.243994
2088.5965	    0.238693
2091.4220	    0.169264
2094.2476	    0.186637
2097.0731	    0.194997
2099.8986	    0.211426
2102.7241	    0.198429
2105.5496	    0.194155
2108.3751	    0.218196
2111.2006	    0.221049
2114.0261	    0.186653
2116.8516	    0.202307
2119.6771	    0.205348
2122.5027	    0.172142
2125.3282	    0.173073
2128.1537	    0.102197
2130.9792	    0.116891
2133.8047	    0.097980
2136.6302	    0.200991
2139.4557	    0.196942
2142.2812	    0.101032
2145.1067	    0.096657
2147.9322	    0.100235
2150.7578	    0.183639
2153.5833	    0.203365
2156.4088	    0.188470
2159.2343	    0.207788
2162.0598	    0.197815
2164.8853	    0.212600
2167.7108	    0.212019
2170.5363	    0.206563
2173.3618	    0.193516
2176.1873	    0.207367
2179.0129	    0.232310
2181.8384	    0.240808
2184.6639	    0.244030
2187.4894	    0.182666
2190.3149	    0.196956
2193.1404	    0.231618
2195.9659	    0.236085
2198.7914	    0.228581
2201.6169	    0.169648
2204.4424	    0.187594
2207.2680	    0.186550
2210.0935	    0.182291
2212.9190	    0.183094
2215.7445	    0.193946
2218.5700	    0.197888
