@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for MUDE 2022-2023                          @@@
Well name: W24
depth(m)	 porosity(-)
2090.8700	    0.180768
2094.9269	    0.155883
2098.9839	    0.136846
2103.0408	    0.130428
2107.0978	    0.129060
2111.1547	    0.099462
2115.2116	    0.127355
2119.2686	    0.146918
2123.3255	    0.137556
2127.3824	    0.184512
2131.4394	    0.220994
2135.4963	    0.190182
2139.5533	    0.111696
2143.6102	    0.122937
2147.6671	    0.114419
2151.7241	    0.186906
2155.7810	    0.174274
2159.8380	    0.224279
2163.8949	    0.227298
2167.9518	    0.235164
2172.0088	    0.209474
2176.0657	    0.187585
2180.1227	    0.187988
2184.1796	    0.201751
2188.2365	    0.192802
2192.2935	    0.114892
2196.3504	    0.130407
2200.4073	    0.128877
2204.4643	    0.222858
2208.5212	    0.238757
2212.5782	    0.162805
2216.6351	    0.164908
2220.6920	    0.172573
2224.7490	    0.182892
2228.8059	    0.196680
2232.8629	    0.214252
2236.9198	    0.242009
2240.9767	    0.242278
2245.0337	    0.239467
2249.0906	    0.232327
2253.1476	    0.238741
2257.2045	    0.230075
2261.2614	    0.247570
2265.3184	    0.263884
2269.3753	    0.249576
2273.4322	    0.253570
2277.4892	    0.242479
2281.5461	    0.247906
2285.6031	    0.184921
2289.6600	    0.164182
