@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for MUDE 2022-2023                          @@@
Well name: W15
depth(m)	 porosity(-)
1897.0300	    0.164587
1898.7594	    0.178906
1900.4888	    0.083067
1902.2182	    0.087701
1903.9476	    0.183912
1905.6769	    0.166915
1907.4063	    0.185881
1909.1357	    0.161185
1910.8651	    0.145804
1912.5945	    0.153898
1914.3239	    0.168153
1916.0533	    0.167942
1917.7827	    0.175121
1919.5120	    0.199871
1921.2414	    0.186717
1922.9708	    0.164172
1924.7002	    0.188746
1926.4296	    0.138522
1928.1590	    0.128963
1929.8884	    0.135173
1931.6178	    0.161969
1933.3471	    0.154568
1935.0765	    0.198896
1936.8059	    0.228210
1938.5353	    0.242729
1940.2647	    0.169868
1941.9941	    0.159777
1943.7235	    0.150401
1945.4529	    0.175003
1947.1822	    0.175005
1948.9116	    0.083913
1950.6410	    0.112938
1952.3704	    0.073347
1954.0998	    0.225498
1955.8292	    0.221882
1957.5586	    0.145198
1959.2880	    0.148115
1961.0173	    0.149810
1962.7467	    0.214042
1964.4761	    0.193934
1966.2055	    0.175659
1967.9349	    0.183998
1969.6643	    0.169027
1971.3937	    0.148814
1973.1231	    0.158868
1974.8524	    0.162598
1976.5818	    0.204750
1978.3112	    0.209547
1980.0406	    0.144864
1981.7700	    0.141573
